img,x,y,brightness,alpha,surrounding_brightness
src/data/6.png,30,9,40,255,34
src/data/6.png,31,9,26,255,39
src/data/6.png,32,9,46,255,33
src/data/6.png,31,10,44,255,37
src/data/7.png,20,0,47,255,35
src/data/7.png,21,0,44,255,36
src/data/7.png,22,0,43,255,34
src/data/7.png,23,0,43,255,34
src/data/7.png,24,0,44,255,35
src/data/7.png,25,0,46,255,34
src/data/7.png,26,0,41,255,35
src/data/7.png,27,0,44,255,31
src/data/7.png,16,1,49,255,34
src/data/7.png,17,1,40,255,35
src/data/7.png,18,1,34,255,33
src/data/7.png,19,1,30,255,34
src/data/7.png,20,1,26,255,35
src/data/7.png,21,1,21,255,36
src/data/7.png,22,1,19,255,35
src/data/7.png,23,1,19,255,34
src/data/7.png,24,1,19,255,34
src/data/7.png,25,1,20,255,34
src/data/7.png,26,1,22,255,33
src/data/7.png,27,1,21,255,31
src/data/7.png,28,1,21,255,28
src/data/7.png,29,1,23,255,25
src/data/7.png,30,1,31,255,29
src/data/7.png,31,1,47,255,30
src/data/7.png,10,2,46,255,38
src/data/7.png,11,2,43,255,37
src/data/7.png,12,2,40,255,36
src/data/7.png,13,2,39,255,35
src/data/7.png,14,2,35,255,34
src/data/7.png,15,2,31,255,37
src/data/7.png,16,2,31,255,39
src/data/7.png,17,2,35,255,38
src/data/7.png,18,2,30,255,36
src/data/7.png,19,2,32,255,31
src/data/7.png,20,2,35,255,29
src/data/7.png,21,2,36,255,27
src/data/7.png,22,2,38,255,26
src/data/7.png,23,2,36,255,25
src/data/7.png,24,2,34,255,25
src/data/7.png,25,2,34,255,25
src/data/7.png,26,2,33,255,25
src/data/7.png,27,2,30,255,25
src/data/7.png,28,2,30,255,26
src/data/7.png,29,2,23,255,28
src/data/7.png,30,2,24,255,31
src/data/7.png,31,2,30,255,30
src/data/7.png,32,2,38,255,30
src/data/7.png,9,3,43,255,39
src/data/7.png,10,3,35,255,41
src/data/7.png,11,3,33,255,41
src/data/7.png,12,3,33,255,39
src/data/7.png,13,3,33,255,36
src/data/7.png,14,3,35,255,34
src/data/7.png,15,3,36,255,34
src/data/7.png,16,3,40,255,35
